20
1000 5000
364 425 137
260 416 150
27 752 -224
179 752 35
241 805 161
598 566 72
540 317 471
85 875 -94
218 193 28
790 915 -203
703 834 245
577 216 186
140 323 -82
348 580 -31
881 476 196
564 829 -277
79 820 330
627 699 -229
790 296 -13
96 522 194
517 339 158
756 122 -105
504 121 82
312 424 -70
268 187 212
734 162 -229
852 211 157
391 618 -266
941 144 439
379 944 191
729 779 349
271 811 -2
303 480 388
221 492 182
734 857 -307
158 684 94
180 925 153
263 246 88
23 397 43
339 352 -23
887 630 -79
929 734 365
243 398 -276
390 342 228
263 766 51
770 663 192
437 377 190
734 618 -285
292 5 -20
345 249 72
445 966 318
269 304 220
948 811 -54
78 448 68
907 414 -71
359 350 193
265 492 50
723 374 -281
504 425 -37
208 629 -127
107 957 16
24 649 -380
696 604 95
723 140 13
53 437 -81
523 833 316
944 910 30
56 34 -193
973 480 55
270 137 34
152 651 339
253 646 3
540 853 266
682 313 176
493 793 118
222 68 -286
807 528 21
521 557 216
38 448 45
384 902 290
945 530 324
697 669 136
369 894 81
295 493 -236
543 845 346
195 993 -176
290 264 -41
328 803 254
830 316 34
147 87 -170
471 972 -237
649 335 194
68 831 103
987 939 270
635 538 185
693 204 381
961 269 26
960 667 -335
93 51 -110
413 742 267
384 283 -54
981 454 200
20 98 320
505 41 184
487 617 -120
181 615 223
305 199 -133
44 792 43
400 589 177
963 3 -108
433 394 361
517 943 115
747 79 -310
54 587 224
806 716 122
482 710 9
489 980 206
912 584 -94
217 352 279
480 467 -201
415 943 65
157 482 -315
183 560 -189
55 819 -59
724 690 448
704 859 77
749 876 274
841 837 141
191 675 143
952 486 -105
65 148 90
233 819 -234
249 457 94
17 655 7
702 903 30
857 446 282
980 215 -238
120 518 466
883 492 144
500 116 -14
758 480 37
342 940 -275
105 61 85
971 840 296
749 201 248
684 729 44
608 603 95
739 783 333
392 677 139
727 281 51
37 244 45
220 259 101
38 298 -11
779 171 -191
747 977 -342
324 46 132
583 537 235
611 765 -278
690 188 -175
211 373 -114
932 467 85
608 710 -155
616 222 39
353 406 -185
796 104 -157
775 984 253
755 677 446
530 287 -456
990 970 268
708 104 -172
944 908 -79
898 909 208
837 974 21
396 493 -128
932 757 475
420 926 385
188 507 -27
809 90 -190
483 1 203
669 835 52
814 892 221
166 897 84
210 360 -35
157 30 -67
745 736 241
401 574 281
270 203 288
174 27 117
872 761 463
336 508 37
960 686 50
230 639 -21
651 194 -265
660 342 459
918 83 134
96 786 -1
405 338 91
97 501 -164
751 497 -275
624 682 79
705 526 -391
920 202 4
426 27 306
451 14 123
857 315 76
851 121 153
179 957 85
516 675 235
235 273 -102
118 322 237
860 257 -252
804 279 67
224 412 294
991 563 2
300 103 185
914 391 184
740 365 305
84 46 190
567 394 104
433 680 382
613 974 -145
795 508 -243
641 695 -390
184 679 54
945 955 -82
63 148 40
880 512 533
986 733 420
1000 756 223
997 155 220
381 919 123
14 754 -17
922 271 143
125 465 151
991 942 -254
50 852 -152
965 851 208
134 44 -9
453 674 -132
49 613 -34
190 304 49
138 428 30
782 119 -89
684 310 -36
547 763 -193
968 780 316
974 374 -58
477 540 -252
170 69 48
840 329 -32
39 307 228
367 190 2
360 84 -110
792 369 223
858 283 -39
891 737 -254
969 514 -147
5 762 21
345 314 169
212 328 -103
64 90 99
414 869 64
306 890 11
841 691 433
100 202 15
850 911 -168
178 375 -48
107 747 319
959 746 37
392 243 180
388 607 -67
173 142 220
642 251 -134
935 598 5
604 775 -327
850 830 -31
537 683 187
284 863 -31
893 416 146
244 329 291
55 397 70
632 154 -73
363 480 357
998 836 286
615 606 -128
228 456 71
790 949 -40
267 833 390
408 603 263
987 622 136
292 835 0
736 786 52
571 823 468
895 432 -109
698 366 150
230 657 186
723 570 160
216 553 -145
167 171 178
707 718 -295
809 723 -33
743 857 45
885 201 274
302 540 -89
898 734 362
249 178 -169
724 869 291
201 401 -472
343 305 266
742 873 -81
325 514 -72
617 560 -25
976 280 271
49 948 48
352 46 -146
921 308 -41
844 154 38
161 125 144
538 473 188
278 603 50
137 579 18
661 290 -113
287 961 141
53 77 224
659 57 195
150 415 192
104 640 300
838 328 -90
324 379 52
382 19 333
922 735 -67
932 242 418
896 963 287
926 387 32
203 483 -223
726 650 429
611 973 58
157 789 132
809 485 68
973 875 68
17 609 52
212 180 67
169 559 266
808 70 -60
216 618 -230
342 220 154
793 170 56
749 267 -27
525 218 473
668 211 -172
10 60 -361
342 860 114
424 453 -117
982 899 -132
742 806 -272
508 742 416
286 330 -57
222 527 -298
249 500 168
704 101 405
698 441 -92
790 945 -110
751 189 -282
973 307 199
936 142 -89
193 884 -97
187 514 -264
361 148 443
152 277 209
742 580 -115
472 683 236
563 745 -260
618 390 90
433 927 28
654 284 -236
623 32 -194
3 456 360
139 39 35
810 998 -306
245 740 117
204 427 -137
482 286 373
953 866 -131
800 343 39
602 741 251
939 822 -349
779 408 -395
107 400 110
326 639 -187
834 827 289
393 157 290
615 403 275
250 617 40
764 438 266
659 842 -205
767 68 -231
782 624 85
788 128 -7
889 321 537
637 271 17
941 41 255
769 729 17
683 539 -137
781 119 117
440 101 50
136 171 87
439 308 -116
88 449 -323
446 557 -22
230 431 375
807 655 225
669 285 195
822 744 3
197 651 117
13 654 383
464 376 -196
666 392 372
367 677 92
99 649 37
773 313 496
296 819 -2
176 135 141
851 472 135
366 85 376
471 686 123
797 552 -147
648 19 247
360 226 23
748 389 -162
827 20 -357
304 685 -147
740 645 406
231 733 310
658 633 209
928 793 256
666 185 387
190 90 38
935 470 235
393 740 -97
112 469 -177
509 741 266
608 937 168
916 338 84
281 471 217
55 903 -275
210 501 -100
575 485 21
114 659 -43
68 953 359
975 813 -287
315 423 409
366 642 104
472 772 -191
91 952 -11
92 480 238
258 441 50
198 516 -136
541 457 -8
820 842 -122
34 168 259
927 928 -84
66 548 392
581 466 108
659 644 41
321 669 -224
812 688 159
209 1 -73
843 874 -62
759 473 383
57 204 -85
72 520 270
187 1000 -301
682 509 -204
656 433 213
805 449 -4
350 65 29
619 314 69
262 704 -113
294 290 -74
321 484 -373
29 156 22
526 121 396
526 308 364
994 138 26
626 996 97
191 809 336
272 569 31
63 315 -178
410 512 195
71 463 205
178 445 -68
100 428 322
618 62 217
604 154 -243
396 779 228
990 839 370
512 958 -177
899 513 121
740 887 256
566 623 366
121 518 171
554 384 -219
984 979 191
341 566 -76
811 71 24
335 291 399
455 898 73
22 765 -267
301 974 -128
315 713 411
508 130 256
739 271 162
25 813 -326
937 623 83
312 262 -242
22 499 78
330 376 58
768 599 140
290 905 91
48 653 427
343 301 338
95 28 74
878 70 418
919 440 206
211 427 -34
647 556 -9
208 716 -71
241 738 308
559 587 110
76 370 114
428 255 22
118 315 114
526 732 317
118 454 490
92 721 327
953 99 -312
92 377 202
300 35 187
292 783 214
536 288 -26
195 198 -184
159 307 270
525 984 397
250 529 -204
219 889 -400
107 794 230
965 232 6
541 514 -246
708 276 -213
345 925 74
175 722 -237
418 268 -60
314 167 -160
322 678 -67
77 307 63
777 896 11
661 290 -44
142 958 37
278 210 58
31 345 24
683 736 -251
979 14 -35
565 157 302
663 915 -96
3 985 380
553 35 141
161 719 124
429 508 -186
744 7 413
777 628 15
482 134 284
101 661 33
64 832 353
508 883 357
919 521 85
938 653 -55
775 643 288
329 309 88
305 373 -170
428 898 -59
756 124 138
384 487 338
43 944 243
994 517 19
686 258 -385
700 319 24
33 510 18
101 585 -233
531 633 -224
70 139 -1
914 441 -198
365 632 -57
782 66 -183
491 336 -462
740 509 12
581 59 326
748 87 0
22 138 -34
746 561 36
67 363 -173
803 75 -314
882 684 18
796 498 -197
243 209 11
207 974 -190
256 644 84
972 456 343
625 167 177
521 23 230
303 774 83
920 955 60
453 424 202
461 363 93
680 26 -339
33 784 69
529 299 95
663 243 243
592 940 -135
352 357 -92
815 711 53
691 202 -333
73 223 137
775 852 38
983 427 -250
335 452 374
801 374 -402
411 20 -60
837 374 -62
574 74 -60
435 143 -343
508 26 125
735 998 -25
66 291 536
436 230 -252
822 766 348
477 512 230
166 141 -169
685 971 78
88 186 15
809 379 -319
438 410 -26
23 679 -334
583 973 202
910 624 54
309 654 310
973 817 139
990 717 171
518 218 48
226 797 339
235 881 98
292 995 12
52 518 365
399 242 37
628 503 17
226 191 11
137 751 216
663 290 149
768 466 -239
416 972 -156
946 481 -238
842 936 264
67 543 -239
339 166 -151
279 848 -80
896 666 54
666 341 245
109 672 493
71 533 -194
159 761 231
185 171 -121
465 122 -234
296 533 -208
794 199 -259
224 294 190
17 63 -95
362 742 294
6 921 -5
139 969 94
838 628 -107
164 174 -42
779 484 -380
776 130 8
107 915 -35
287 449 81
516 549 249
315 238 193
279 623 274
911 383 368
245 433 129
581 545 443
22 802 -273
569 128 -320
111 923 212
26 390 128
810 363 -230
429 557 79
738 212 50
121 574 -46
939 162 -232
94 541 471
831 270 63
871 648 -103
608 77 187
223 745 -88
159 922 73
444 21 56
914 220 266
614 837 -285
118 816 256
998 805 109
572 848 107
62 411 -192
461 765 80
356 731 6
744 483 83
596 445 99
103 678 -235
866 88 337
825 456 75
92 471 191
626 211 65
131 744 38
25 995 -186
348 414 14
312 256 -175
732 974 -72
270 826 122
919 34 -87
771 758 181
709 726 -250
918 282 -6
20 548 403
26 559 269
2 143 -253
236 222 340
205 308 144
132 375 -179
895 449 -386
414 946 281
733 25 115
159 270 44
298 33 108
189 494 339
705 941 -353
596 210 300
658 31 243
687 366 237
576 477 283
730 707 235
317 834 -76
37 237 553
997 19 481
84 742 402
919 905 152
989 473 -45
137 393 55
289 819 101
222 694 -324
131 138 194
982 617 69
863 987 234
705 279 -289
257 155 101
855 669 -16
700 546 122
480 995 8
903 634 232
205 480 218
522 227 76
719 278 144
241 436 422
195 928 -387
598 465 304
779 370 -81
284 922 151
57 481 -315
380 330 -83
799 284 202
813 847 236
733 335 -264
890 734 191
104 304 290
535 691 326
310 527 18
894 854 -158
436 121 38
822 609 428
299 106 69
877 544 -99
186 663 -211
988 524 435
361 200 -4
611 767 50
778 830 208
632 9 107
403 933 -301
849 793 -129
556 704 -46
422 581 -77
2 595 157
495 985 -16
917 712 109
487 182 45
68 660 -46
79 291 472
598 708 355
239 311 232
641 58 -103
946 62 -48
206 548 268
268 284 -50
305 236 -25
467 532 321
392 940 -256
482 741 363
354 47 2
693 53 362
375 987 303
664 264 16
271 64 -100
338 250 236
949 55 117
46 935 -6
155 698 -93
138 535 -106
443 423 95
151 656 -113
51 488 143
997 552 235
498 923 419
661 522 24
49 240 -358
695 37 30
447 603 231
405 932 85
669 753 64
734 473 -131
533 497 98
312 665 11
591 540 89
850 124 58
20 373 94
186 272 -16
728 291 324
304 344 67
751 708 6
99 840 391
495 448 -66
44 177 178
963 365 46
648 608 -9
792 389 -108
978 191 -120
643 889 -195
909 388 183
63 531 131
817 726 -364
480 582 -8
186 715 -278
946 17 121
700 693 -323
765 55 330
775 910 220
726 811 278
909 459 246
577 650 273
365 226 -54
977 365 289
535 590 40
77 215 -217
547 517 42
741 371 152
863 135 325
781 297 389
66 647 191
236 598 -97
783 776 -113
130 156 223
693 144 452
615 149 -187
856 965 55
125 26 -116
857 927 52
874 813 67
483 737 11
392 306 20
493 530 364
834 919 -25
267 800 -74
671 15 -14
205 944 42
503 909 319
721 266 -88
915 977 62
177 572 -382
116 552 -62
669 600 244
214 59 114
901 756 9
100 722 101
621 1000 -248
322 802 -185
309 471 161
560 747 243
725 891 219
860 893 -153
120 861 460
995 786 -72
491 998 -373
766 463 -25
870 415 255
671 193 -33
4 22 159
473 342 75
439 551 -291
777 702 40
783 605 -320
512 69 -200
545 459 72
152 666 -83
756 537 184
361 125 233
285 194 -64
235 112 141
930 260 -42
111 252 -137
583 856 -41
353 852 -351
147 263 -50
987 433 -83
784 966 143
442 324 -243
726 529 69
952 421 -103
202 858 181
603 776 40
88 956 -281
253 998 -68
568 654 117
16 434 368
775 471 278
677 537 46
607 300 -155
731 482 -99
396 350 115
770 508 -13
454 70 -103
498 154 167
227 110 1
424 831 -78
229 59 -139
380 760 -329
289 54 192
893 438 190
917 53 86
876 21 -400
697 879 206
677 765 -288
556 695 -96
775 729 164
525 245 103
643 647 -60
74 460 -45
920 145 482
277 438 128
924 660 -403
158 699 19
268 895 236
997 919 171
877 350 45
134 510 3
776 155 8
57 391 -60
980 799 -356
703 321 512
735 4 131
245 387 433
524 89 -131
58 967 42
559 845 97
755 945 173
522 699 -266
543 663 164
636 982 266
909 498 -317
204 772 -281
792 653 207
229 889 -425
372 767 388
905 199 -183
261 965 -210
603 989 268
172 892 218
75 962 293
856 834 138
825 59 38
429 323 -152
64 588 361
556 493 -17
365 970 91
744 503 52
392 482 -187
623 297 113
142 689 125
243 169 -268
560 532 241
896 490 499
686 985 50
186 145 15
404 650 272
647 349 166
839 709 14
259 355 -420
355 85 512
513 98 73
586 455 84
765 577 220
301 741 41
885 990 -154
594 560 -119
829 703 -73
591 878 7
285 5 -6
129 747 321
846 482 -282
734 887 -140
460 316 279
385 150 6
652 747 323
897 656 -189
625 893 196
939 199 -467
204 457 118
841 141 2
29 747 -19
254 64 114
202 715 113
555 645 412
711 756 231
973 862 32
903 554 556
894 337 -140
930 942 -131
931 180 -69
599 238 -166
280 210 87
695 945 125
467 671 418
852 783 422
601 51 -28
797 692 87
288 541 127
817 301 -28
139 679 -216
153 308 287
716 31 215
638 378 465
193 856 -223
396 239 -272
549 80 192
884 539 118
628 460 80
112 150 13
722 41 183
421 239 -26
156 429 -82
622 712 9
348 827 209
986 855 256
435 53 -154
760 891 398
416 1000 -231
657 924 263
605 963 284
845 276 -169
145 102 -14
266 118 -287
251 901 342
270 304 141
363 402 250
278 193 145
95 19 355
285 539 58
674 941 -15
788 523 140
209 317 11
965 845 360
434 869 12
809 729 -190
983 610 0
394 501 -237
776 675 44
26 632 170
979 237 65
942 741 189
254 708 324
744 671 488
366 765 -90
277 428 -9
180 878 -179
407 322 75
714 752 -252
38 34 -173
91 930 48
796 946 247
830 52 -7
638 741 312
796 144 148
298 225 292
98 499 103
154 530 394
629 436 325
336 386 517
729 537 193
770 23 409
756 795 116
930 390 -159
933 877 366
189 973 331
677 930 -1
506 226 -145
637 569 94
108 795 183
630 347 -105
226 619 256
268 142 1
791 765 -94
218 988 -248
80 12 -165
259 33 -206
878 979 502
339 487 119
477 359 29
854 531 262
574 677 221
345 48 -235
43 169 137
324 312 464
552 884 -29
480 110 51
74 137 113
743 775 40
119 780 249
766 201 164
557 887 6
67 714 21
886 12 -114
467 204 312
335 321 364
915 770 6
300 384 80
185 408 -296
829 881 160
7 73 -277
997 541 372
675 381 -70
792 51 -29
385 284 22
646 523 195
331 918 280
1 835 -51
102 332 -88
397 345 27
44 200 -116
736 4 -1
322 369 204
251 193 363
959 478 -229
418 611 -29
348 667 -141
143 925 386
538 340 232
181 251 -79
503 957 68
504 225 177
731 510 51
930 186 92
850 319 18
215 863 13
921 28 -109
311 722 -196
967 824 -198
559 816 -101
460 117 99
375 978 394
80 326 -55
850 696 152
652 637 312
848 250 341
128 354 406
344 218 116
37 788 50
856 270 182
932 963 247
391 538 -137
4 293 -46
148 43 -266
73 759 11
210 266 96
185 40 -51
413 606 -68
105 9 144
864 412 209
956 373 -94
817 459 114
575 938 57
658 133 326
805 245 0
690 697 -419
506 631 -212
808 282 -161
21 871 554
478 923 374
517 212 -81
705 580 -276
937 228 26
772 98 270
780 627 28
789 326 -186
644 831 -79
614 110 -83
619 533 -403
329 895 288
684 708 213
192 460 48
488 595 210
878 859 130
461 764 114
349 777 -223
553 136 127
71 699 -177
763 90 140
25 21 -428
496 917 72
205 844 -49
709 574 -80
840 997 -215
2 418 159
617 454 278
507 468 277
978 415 80
158 61 192
949 882 33
368 272 226
176 945 8
698 745 -37
255 830 82
899 49 415
214 387 233
208 886 100
988 356 242
247 582 319
838 417 133
544 896 -130
93 390 -39
820 497 -267
486 134 184
663 974 32
936 518 140
373 95 198
886 738 30
53 584 -149
861 1 -170
353 465 -88
634 117 -137
748 989 198
876 795 -175
230 963 260
15 396 -105
595 991 136
496 21 -233
751 518 64
421 865 -119
306 365 2
546 891 -50
943 60 -348
432 319 -4
216 124 8
421 250 211
39 272 189
67 76 51
32 601 106
201 727 -316
730 687 -240
147 912 -124
305 783 250
895 162 -188
192 783 420
773 825 309
4 345 149
784 568 161
56 795 3
685 634 155
944 820 106
993 879 50
222 184 -412
627 377 85
586 243 318
776 236 13
981 359 23
18 181 -313
816 119 8
492 385 -57
295 71 -121
823 385 -145
99 994 373
220 314 21
815 446 450
3 859 82
260 144 200
518 309 -116
993 253 0
279 102 326
391 946 132
82 961 32
360 862 247
91 654 202
572 263 429
459 71 -268
573 82 92
994 82 -171
436 464 109
362 85 441
200 243 419
92 660 -145
88 519 -83
183 810 -28
831 483 -35
336 789 563
53 437 2
4 771 83
205 679 -176
925 684 -102
771 390 26
944 731 -37
309 660 -237
245 310 61
293 730 221
965 729 176
292 579 -94
790 951 -179
426 857 155
703 747 380
636 300 152
805 247 -54
770 499 410
130 728 56
613 598 -273
672 160 22
876 443 -18
247 642 218
471 431 122
647 661 253
923 207 146
34 826 306
899 844 133
96 501 -10
888 502 -94
11 389 -66
672 30 -142
421 525 -68
690 397 -110
487 132 -156
306 542 101
708 181 -207
362 719 202
882 842 -32
709 551 -251
186 1 -161
507 695 -54
571 245 60
944 191 3
43 744 43
623 804 -235
900 103 -76
301 106 -146
961 306 276
788 729 121
773 638 57
253 12 119
464 811 -196
892 992 -192
997 551 43
370 56 60
939 204 -37
700 130 -146
852 137 159
556 361 -26
646 121 382
932 204 365
944 125 42
765 933 87
695 998 -8
660 376 267
458 355 -285
297 793 -297
675 795 126
8 142 96
755 848 12
213 406 72
586 487 404
450 118 -141
497 907 438
313 814 -319
767 618 -162
517 324 -212
409 718 -236
401 186 513
320 115 -179
793 353 344
216 633 -112
237 987 -187
693 192 91
762 153 -61
17 601 -262
265 491 234
455 365 280
267 269 69
357 935 -83
751 208 -109
856 820 290
96 133 229
834 942 17
354 340 75
970 795 30
584 18 422
626 444 -150
340 924 79
509 204 328
520 784 37
418 313 167
535 683 363
562 901 -120
341 68 -138
27 437 -84
706 627 266
670 81 250
905 814 -160
889 715 167
729 56 172
533 751 426
487 213 -240
989 123 -29
544 256 35
948 830 -97
753 562 329
633 701 -144
81 131 -302
226 59 236
77 651 145
399 881 -192
881 451 95
547 913 -82
7 894 67
991 658 -339
906 608 254
529 48 32
562 935 -355
196 659 367
369 115 -347
904 330 -150
688 584 23
289 418 333
872 364 143
605 806 64
937 819 -140
661 552 -143
751 283 -257
140 64 -91
160 597 -230
600 442 15
476 176 -44
461 448 268
639 450 272
866 314 349
186 351 -174
281 512 355
77 264 -227
23 254 -180
158 884 97
661 866 -203
797 994 -38
984 433 -111
973 534 -78
315 734 436
735 138 288
257 536 327
370 579 -99
920 89 262
69 771 22
562 588 57
76 713 176
903 26 154
987 738 55
357 870 129
396 252 -176
536 39 -108
641 480 -26
892 441 -176
677 601 -159
181 940 -77
708 94 -235
796 561 70
445 870 235
875 645 163
848 539 253
10 520 19
384 972 -33
520 745 -279
753 46 -10
575 385 -173
548 322 -133
878 103 406
809 404 -189
891 405 -336
703 423 512
411 605 -13
595 510 -99
132 498 -224
326 731 13
596 19 514
877 706 -334
874 195 448
879 259 369
669 503 -80
373 955 43
481 978 311
383 576 -249
254 899 13
330 727 -136
34 626 135
119 410 200
669 177 305
891 363 -265
423 881 -121
503 366 175
707 679 -370
731 918 40
360 835 79
733 930 -50
909 182 164
923 289 -239
631 577 220
327 809 418
608 852 -125
442 975 62
668 223 -247
52 287 -69
385 435 275
15 501 -237
550 12 -299
153 371 382
592 193 219
199 448 354
319 596 -240
552 20 -141
135 343 -210
722 718 33
827 874 -350
356 538 9
188 870 10
95 36 -102
405 353 460
601 90 89
328 291 383
959 131 -174
149 897 277
191 981 159
634 324 -121
111 830 22
795 678 -124
373 453 245
380 931 52
614 652 -274
441 315 196
898 190 188
80 968 -244
342 85 148
408 621 361
863 141 -41
472 339 107
631 836 188
873 411 -96
337 407 39
872 584 106
431 128 -432
518 628 -321
523 889 -123
258 660 45
702 480 314
836 713 285
105 631 -111
669 620 192
461 546 451
944 185 224
175 964 205
913 101 229
286 703 -289
124 130 -120
441 142 308
203 327 -358
38 815 -212
516 692 424
852 883 255
672 243 -65
494 91 19
225 970 -124
130 803 205
489 620 89
457 483 -289
73 217 71
932 659 367
283 827 420
87 654 239
834 107 -76
192 876 436
473 394 201
728 872 -114
641 973 -121
258 438 390
616 91 -81
69 396 153
451 899 -156
416 308 21
285 881 68
223 423 300
959 293 -218
806 157 399
526 565 201
714 798 43
518 771 -152
624 668 231
890 372 -223
508 308 353
576 883 211
511 262 190
271 924 130
487 843 -193
573 43 32
779 710 -386
312 526 -469
838 893 63
485 473 -113
759 78 287
8 13 -26
363 447 63
116 63 26
27 628 -194
30 29 202
463 378 178
101 140 -67
259 870 -195
566 344 258
675 287 -205
866 245 -10
797 948 11
289 90 131
298 733 277
670 259 205
377 889 -324
73 149 10
345 129 -223
807 941 -256
954 414 110
108 519 191
806 938 426
740 502 251
337 379 -147
892 984 121
373 679 24
806 353 483
745 298 249
872 425 260
34 287 33
150 704 -184
717 914 69
369 454 121
864 572 -215
524 588 -6
78 837 -51
740 964 350
751 476 36
447 813 18
961 62 203
680 566 -342
380 716 -187
774 971 30
46 891 339
980 370 -68
714 418 175
337 797 241
276 235 69
919 82 4
237 206 -172
781 607 317
857 877 319
437 301 245
455 990 -32
11 417 169
990 349 290
602 500 358
900 652 -278
51 289 22
207 635 -369
973 233 172
104 333 -13
938 1 -194
401 530 483
171 954 -71
976 736 273
429 549 50
468 545 85
182 196 -414
621 632 -92
346 421 21
896 922 249
498 226 207
436 311 -86
906 512 467
21 413 206
75 222 490
794 760 -185
261 113 172
828 625 18
333 847 263
900 776 -132
634 411 -26
818 294 90
456 593 -137
692 802 -414
40 471 98
578 297 201
214 828 -67
936 813 -260
38 654 200
114 317 12
788 98 228
933 675 179
60 570 409
527 587 419
475 340 374
96 543 -120
117 22 326
59 318 -65
577 903 -170
732 843 -58
314 654 46
637 246 86
807 569 185
367 485 133
355 481 190
752 879 180
361 256 242
838 964 259
404 418 250
595 260 -75
765 498 -1
513 292 106
554 37 -436
320 813 -195
209 904 74
841 43 70
241 958 232
322 691 186
589 19 315
429 438 152
836 757 303
678 5 223
400 721 272
108 869 191
248 22 293
475 392 311
243 514 -189
420 366 112
278 85 300
965 599 407
128 731 248
849 777 -117
827 501 -226
123 597 -204
405 61 241
673 225 453
141 305 259
504 427 -167
858 286 360
699 347 -20
556 836 144
960 819 -212
284 677 239
767 269 -174
282 266 228
833 215 -263
268 436 160
617 565 -110
850 153 -231
25 550 12
337 782 59
647 212 83
561 26 -188
927 509 19
550 337 -197
562 854 -106
483 737 28
26 134 304
328 278 239
960 792 -177
700 147 155
855 337 91
167 300 58
327 998 55
401 767 432
478 739 169
511 698 56
494 991 215
19 21 -414
836 431 278
675 812 -152
909 39 6
224 826 141
492 776 -76
78 349 189
908 312 411
158 662 434
79 999 -35
854 811 87
633 540 -197
989 724 -319
547 535 -142
551 273 -1
690 506 -103
304 344 22
785 867 52
553 23 187
146 548 -42
911 70 274
279 257 9
278 573 -135
217 474 184
405 959 340
732 670 -21
443 204 44
667 742 217
537 918 -78
323 870 186
72 78 137
874 684 208
130 96 53
607 837 -107
439 508 -408
887 141 -306
828 474 208
253 359 259
687 886 358
979 792 -124
498 436 464
999 257 167
299 616 463
828 476 360
151 499 217
677 146 168
283 800 -15
282 509 -31
862 915 -305
983 258 -366
957 437 133
897 153 -217
138 851 -16
46 421 29
832 602 -282
369 71 -183
378 514 -262
738 475 -112
135 545 164
472 773 -240
517 16 -162
756 624 106
782 27 67
153 420 148
478 943 404
380 155 -93
411 764 69
166 961 -30
